parameter	value	max_shift_pp	F_rapamycin	F_acarbose	F_canagliflozin	F_17_alpha_estradiol	F_aspirin	F_glycine	combo_rapa_acarb
heteroplasmy.transcription_advantage	0.2	0.6536	0.4505	0.2010	0.1277	0.0000	0.0000	0.0142	0.6536
heteroplasmy.time_scale	12	0.3538	0.2650	0.1076	0.0902	0.0000	0.0000	0.0060	0.3538
heteroplasmy.k_selection_foxo3	0.1	0.2831	0.1449	0.0995	0.0584	0.0000	0.0000	0.0059	0.2831
nad.k_nampt_base	0.55	0.2587	0.1541	0.0707	0.0695	0.0000	0.0000	0.0063	0.2587
mtorc1.k_mtorc1_damage_reduction	0.25	0.2043	0.2043	0.0076	0.0163	0.0000	0.0000	0.0210	0.0316
sirtuin.k_sirt1_foxo3	0.8	0.1989	0.0978	0.0723	0.0431	0.0000	0.0000	0.0170	0.1989
tsc2.k_tsc2_mtorc1_max	0.65	0.1961	0.1961	0.0176	0.0182	0.0000	0.0000	0.0342	0.1515
nad.k_consumption_basal	0.4	0.1707	0.1035	0.0440	0.0480	0.0000	0.0000	0.0092	0.1707
mtorc1.k_mtorc1_senescence	0.35	0.1636	0.1636	0.0104	0.0147	0.0000	0.0000	0.0199	0.0104
dna_repair.k_damage_ros	0.6	0.1607	0.1607	0.0429	0.0537	0.0000	0.0000	0.0430	0.0711
sirtuin.Km_nad_sirt1	0.4	0.1259	0.0409	0.0275	0.0279	0.0000	0.0000	0.0169	0.1259
tsc2.Km_tsc2_mtorc1	0.5	0.1248	0.1248	0.0262	0.0269	0.0000	0.0000	0.0171	0.0666
nad.k_cd38_base	0.35	0.1224	0.1224	0.0173	0.0435	0.0000	0.0000	0.0104	0.1045
nad.k_parp_consumption	0.7	0.1187	0.0775	0.0249	0.0320	0.0000	0.0000	0.0180	0.1187
methylation.k_ezh2_base	1.85	0.1044	0.0542	0.0460	0.0500	0.0000	0.0000	0.0107	0.1044
nad.k_cd38_age	0.5	0.0920	0.0884	0.0251	0.0424	0.0000	0.0000	0.0081	0.0920
tsc2.n_hill_tsc2_mtorc1	1.2	0.0878	0.0262	0.0066	0.0334	0.0000	0.0000	0.0355	0.0878
sirtuin.foxo3_basal	0.2	0.0872	0.0639	0.0265	0.0263	0.0000	0.0000	0.0164	0.0872
tsc2.TSC2_basal	0.3	0.0849	0.0849	0.0042	0.0246	0.0000	0.0000	0.0292	0.0278
senescence.k_sen_from_damage	0.4	0.0802	0.0802	0.0154	0.0245	0.0000	0.0000	0.0175	0.0433
nad.k_nampt_age_decline	0.431	0.0797	0.0323	0.0244	0.0271	0.0000	0.0000	0.0133	0.0797
senescence.k_sen_from_oncogene	0.08	0.0792	0.0792	0.0147	0.0225	0.0000	0.0000	0.0258	0.0391
senescence.k_sen_from_telomere	0.12	0.0792	0.0792	0.0231	0.0269	0.0000	0.0000	0.0325	0.0401
nad.k_oxphos_nad_regen	0.15	0.0765	0.0634	0.0178	0.0257	0.0000	0.0000	0.0168	0.0765
sirtuin.n_hill_sirt1	2	0.0724	0.0724	0.0138	0.0200	0.0000	0.0000	0.0129	0.0194
heteroplasmy.H_0	0.05	0.0641	0.0528	0.0138	0.0218	0.0000	0.0000	0.0137	0.0641
nad.Km_nad_consumption	0.05	0.0500	0.0500	0.0093	0.0200	0.0000	0.0000	0.0162	0.0450
dna_repair.k_damage_replication	0.12	0.0476	0.0476	0.0105	0.0207	0.0000	0.0000	0.0253	0.0212
nad.NAD_young	1	0.0424	0.0424	0.0127	0.0178	0.0000	0.0000	0.0148	0.0229
nad.k_sirt_consumption	0.1	0.0414	0.0376	0.0110	0.0178	0.0000	0.0000	0.0146	0.0414
uprmt.Vmax_uprmt	1	0.0368	0.0368	0.0078	0.0152	0.0000	0.0000	0.0162	0.0187
heteroplasmy.Neff	100	0.0358	0.0350	0.0108	0.0170	0.0000	0.0000	0.0146	0.0358
dna_repair.k_damage_spontaneous	0.18	0.0335	0.0335	0.0146	0.0243	0.0000	0.0000	0.0318	0.0142
autophagy.Km_autophagy	0.35	0.0331	0.0331	0.0065	0.0135	0.0000	0.0000	0.0178	0.0143
nad.k_tryptophan	0.05	0.0326	0.0326	0.0084	0.0156	0.0000	0.0000	0.0144	0.0322
uprmt.Km_uprmt	0.35	0.0319	0.0319	0.0067	0.0146	0.0000	0.0000	0.0157	0.0159
methylation.meth_young	0.25	0.0305	0.0305	0.0064	0.0161	0.0000	0.0000	0.0153	0.0088
autophagy.w_foxo3_autophagy	0.35	0.0293	0.0293	0.0037	0.0126	0.0000	0.0000	0.0178	0.0093
methylation.k_dnmt_base	0.28	0.0282	0.0282	0.0032	0.0159	0.0000	0.0000	0.0134	0.0190
dna_repair.k_ber_base	0.35	0.0270	0.0270	0.0050	0.0138	0.0000	0.0000	0.0163	0.0167
uprmt.k_uprmt_proteostasis	0.25	0.0257	0.0257	0.0060	0.0137	0.0000	0.0000	0.0140	0.0131
uprmt.k_uprmt_nad	0.25	0.0246	0.0246	0.0065	0.0131	0.0000	0.0000	0.0150	0.0130
uprmt.k_uprmt_sen_reduction	0.15	0.0239	0.0239	0.0051	0.0122	0.0000	0.0000	0.0151	0.0137
uprmt.k_uprmt_hetero	0.4	0.0223	0.0223	0.0037	0.0124	0.0000	0.0000	0.0144	0.0109
dna_repair.k_ber_nad_dependence	0.7	0.0206	0.0206	0.0036	0.0122	0.0000	0.0000	0.0140	0.0147
nad.k_hetero_oxphos	0.35	0.0206	0.0206	0.0050	0.0124	0.0000	0.0000	0.0137	0.0161
dna_repair.k_ner_base	0.18	0.0199	0.0199	0.0030	0.0120	0.0000	0.0000	0.0151	0.0138
uprmt.k_uprmt_autophagy	0.2	0.0189	0.0189	0.0032	0.0113	0.0000	0.0000	0.0144	0.0084
heteroplasmy.k_selection_base	0.001	0.0186	0.0186	0.0043	0.0117	0.0000	0.0000	0.0133	0.0123
dna_repair.k_ner_nad_dependence	0.4	0.0186	0.0186	0.0034	0.0114	0.0000	0.0000	0.0134	0.0108
sasp.k_sasp_production	0.45	0.0184	0.0184	0.0039	0.0119	0.0000	0.0000	0.0134	0.0129
uprmt.k_uprmt_ros	0.3	0.0182	0.0182	0.0034	0.0116	0.0000	0.0000	0.0137	0.0092
dna_repair.k_hr_base	0.1	0.0177	0.0177	0.0026	0.0115	0.0000	0.0000	0.0148	0.0140
dna_repair.k_hr_sirt1_boost	0.5	0.0176	0.0176	0.0031	0.0114	0.0000	0.0000	0.0140	0.0094
methylation.k_tet_base	0.02	0.0169	0.0169	0.0033	0.0110	0.0000	0.0000	0.0134	0.0095
senescence.k_sen_natural_clear	0.02	0.0168	0.0168	0.0034	0.0112	0.0000	0.0000	0.0135	0.0083
mtorc1.k_mtorc1_autophagy	0.7	0.0164	0.0164	0.0062	0.0124	0.0000	0.0000	0.0138	0.0123
methylation.k_sasp_methylation	0.42	0.0163	0.0163	0.0035	0.0112	0.0000	0.0000	0.0132	0.0100
senescence.k_sen_autophagy_clear	0.7	0.0155	0.0155	0.0043	0.0129	0.0000	0.0000	0.0141	0.0138
autophagy.Vmax_autophagy	1	0.0155	0.0155	0.0043	0.0129	0.0000	0.0000	0.0141	0.0138
nad.k_cd38_sasp	0.6	0.0108	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.SASP_young	0.005	0.0079	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.k_sasp_ros	0.18	0.0070	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.k_sasp_decay	0.6	0.0053	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
senescence.k_sen_from_sasp	0.2	0.0033	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.k_sasp_paracrine_sen	0.12	0.0033	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.k_sasp_liver_clear	0.35	0.0027	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
senescence.sen_min_residual	0.015	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.k_sasp_delay	0.02	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.k_sasp_meth_drift	0.15	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
cancer.k_p53_apoptosis	0.15	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
cancer.k_immune_surveillance	0.1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
cancer.k_mut_from_damage	0.015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
cancer.k_mut_from_ros	0.01	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
cancer.k_mut_from_replication	0.005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sasp.k_sasp_immune_suppress	0.25	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
nad.k_nampt_ampk	0.5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
nad.k_nmn_synthesis	0.8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
nad.k_cd38_inhibitor	0.7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
